name,station,date
Bellamy Brothers - Let Your Love Flow,radiowien,2021-04-19 04:54:02.606017
Ben E. King - Stand By Me,radiowien,2021-04-18 21:54:03.308232
Benny Sings - Nobody's Fault (feat. Tom Misch),fm4,2021-04-18 15:21:02.055207
Biig Piig - Oh No | FM4 Hallo FM4,fm4,2021-04-18 12:18:02.050135
Bilderbuch - Nahuel Huapi,oe3,2021-04-19 01:09:02.072253
Billy Idol - Sweet Sixteen,radiowien,2021-04-19 01:30:01.205133
Billy Joel - Don't Ask Me Why,radiowien,2021-04-19 05:30:01.905870
Billy Joel - The Longest Time,radiowien,2021-04-19 01:09:02.611119
Billy Joel - The River Of Dreams,radiowien,2021-04-18 13:06:02.140517
Billy Ocean - Caribbean Queen (No More Love On The Run),radiowien,2021-04-18 15:06:02.055157
"Billy Ocean - Get outta My Dreams, Get into My Car",oe3,2021-04-18 17:27:01.764720
Bingo Boys - Sugar Daddy,radiowien,2021-04-18 18:24:03.544329
Birgit Denk - Cremeschnitten,radiowien,2021-04-18 19:30:04.835238
Blackstreet - No Diggity (J-star rmx) | FM4 Hallo FM4,fm4,2021-04-18 12:12:02.666929
Blitz The Ambassador ft. Nneka - Love On The Run,fm4,2021-04-18 08:25:16.849741
Blondie - Heart Of Glass,radiowien,2021-04-18 17:30:04.989950
Blondie - Maria,radiowien,2021-04-18 22:54:01.914066
Blondie - The Tide Is High,radiowien,2021-04-18 12:15:01.556259
Blu De Tiger - Vintage | FM4 Sunny Side Up,fm4,2021-04-18 09:57:02.639126
Blue feat. Elton John - Sorry Seems To Be The Hardest Word,radiowien,2021-04-18 15:48:02.349063
Blur - Out Of Time | FM4 Sunny Side Up,fm4,2021-04-18 10:51:02.342809
Bob Dylan - Lily Of The West,radiowien,2021-04-18 15:42:01.850462
Bob Marley & the Wailers - Buffalo Soldier,oe3,2021-04-18 19:54:00.800399
Bob Seger - Still The Same,radiowien,2021-04-18 12:24:02.444263
Bohannon - Come Dance With Me | FM4 Sunny Side Up,fm4,2021-04-18 10:27:02.749177
Bon Jovi - Always,oe3,2021-04-19 00:39:01.043889
Bon Thugs-n-Harmony - Crossroads | FM4 Fivas Ponyhof,fm4,2021-04-18 15:54:02.344403
Bonobo  Rhye - Break Apart | FM4 Sunny Side Up,fm4,2021-04-18 08:54:02.041557
Booka Shade - Sweet Lies | FM4 Hallo FM4,fm4,2021-04-18 13:00:02.245497
Boy GeorgeCulture Club - Do You Really Want To Hurt Me,radiowien,2021-04-19 00:33:01.806474
Boy. - Little Numbers | FM4 Morning Show,fm4,2021-04-19 05:51:02.408267
Boyzone - No Matter What,radiowien,2021-04-18 17:36:01.957802
Brandt Brauer Frick - Fuel | FM4 Hallo FM4,fm4,2021-04-18 14:27:02.455642
Britney Spears - Baby One More Time,radiowien,2021-04-18 23:18:01.302114
Bruce Springsteen - Born In The U.S.A.,radiowien,2021-04-19 03:06:02.611950
Bruce Springsteen - Dancing In The Dark,radiowien,2021-04-18 13:21:02.540376
Bruno Mars - Count on Me,oe3,2021-04-19 02:48:01.639601
Bruno Mars - Just The Way You Are,radiowien,2021-04-18 21:51:01.895444
Bruno Mars - The Lazy Song,radiowien,2021-04-19 06:45:01.515572
Bruno Mars Feat. Anderson .Paak - Leave The Door Open,fm4,2021-04-18 15:39:02.141568
Bryan Adams - Cuts Like A Knife,radiowien,2021-04-18 14:09:02.354336
Bryan Adams - Please Forgive Me,radiowien,2021-04-18 21:27:02.037902
Bryan Adams - Summer of '69,oe3,2021-04-18 11:09:01.562376
Buntspecht - Kurzes Spiel | FM4 Soundpark,fm4,2021-04-19 00:39:01.795917
Buntspecht - Kurzes Spiel | FM4 Sunny Side Up,fm4,2021-04-18 10:48:01.841470
Calvin Harris feat. Ellie Goulding - Outside,oe3,2021-04-18 23:36:01.398084
Caribou - Never Come Back | FM4 Morning Show,fm4,2021-04-19 07:09:03.212926
Carl Peyer - Romeo und Julia,radiowien,2021-04-18 18:18:01.848163
Carly Rae Jepsen - Call Me Maybe,oe3,2021-04-18 23:48:01.245383
Carole King - Where You Lead,radiowien,2021-04-18 13:57:02.738632
Catastrophe & Cure - Somewhere Down The Line | FM4 Morning Show,fm4,2021-04-19 06:36:02.625599
Cha Wa - Second Line Girl | FM4 Fivas Ponyhof,fm4,2021-04-18 16:12:02.649801
Charles & Eddie - Would I Lie To You,radiowien,2021-04-19 02:06:02.495154
Cher - Believe,radiowien,2021-04-19 05:36:02.812813
Cherry Glazerr - Big Bang | FM4 Hallo FM4,fm4,2021-04-18 11:24:02.740992
Chiny Logan - Killing Me Softly,oe3,2021-04-18 20:42:01.689810
Chris Steger - Leicht kennt maÂs hom,oe3,2021-04-18 21:48:01.852220
Chris Steger - Zefix,oe3,2021-04-19 03:09:01.853196
Christina Stuermer - Seite an Seite,radiowien,2021-04-18 16:51:02.339283
Christopher Cross - All Right,radiowien,2021-04-19 06:33:01.905484
Claire Rosinkranz & Jeremy Zucker - Backyard Boy,fm4,2021-04-18 10:18:02.440763
Climie Fisher - Love Changes Everything,radiowien,2021-04-18 13:36:02.537843
Cloudelvis - Pull It | FM4 Soundpark,fm4,2021-04-19 00:48:01.516056
Coldplay - A Sky Full of Stars,oe3,2021-04-19 00:06:01.165183
Como - One Of Those Days,radiowien,2021-04-18 18:54:02.555473
Count Basic - I'm Loving You,radiowien,2021-04-18 14:42:02.537578
