,name,station,date,artist,song,uri,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,loudness,index,spotify_artist,spotify_song,scraped_artist,scraped_song
2667,Bruce Springsteen - Livin' In The Future,radiowien,2021-04-30 21:54:02.065830,Bruce Springsteen , Livin' In The Future,spotify:track:3EjU4PpZ6rvbUR70YlDEa6,0.0115,0.325,0.967,1.75e-06,0.363,0.0858,215.746,0.555,-3.071,1387,Bruce Springsteen,Livin' In the Future,,
2668,Bruce Springsteen - My Hometown,oe3,2021-04-22 17:36:01.734022,Bruce Springsteen , My Hometown,spotify:track:6dahFmHrgncgVJjsI1ws7e,0.486,0.652,0.338,5.9e-05,0.0744,0.0367,116.881,0.392,-11.58,1388,Bruce Springsteen,My Hometown,,
2669,Bruce Springsteen - My Hometown,radiowien,2021-05-02 01:57:01.262571,Bruce Springsteen , My Hometown,spotify:track:6dahFmHrgncgVJjsI1ws7e,0.486,0.652,0.338,5.9e-05,0.0744,0.0367,116.881,0.392,-11.58,1388,Bruce Springsteen,My Hometown,,
2670,Bruce Springsteen - My Hometown,radiowien,2021-05-02 01:57:01.262571,Bruce Springsteen , My Hometown,spotify:track:6dahFmHrgncgVJjsI1ws7e,0.486,0.652,0.338,5.9e-05,0.0744,0.0367,116.881,0.392,-11.58,1388,Bruce Springsteen,My Hometown,,
2671,Bruce Springsteen - The Rising,radiowien,2021-04-21 17:54:02.763053,Bruce Springsteen , The Rising,spotify:track:2czBvzOv3TvnyoW7Ozo7fP,0.0655,0.499,0.761,0.0,0.0895,0.0324,110.186,0.326,-6.381,1389,Bruce Springsteen,The Rising,,
2672,Bruce Springsteen - The Rising,radiowien,2021-04-30 04:12:02.748913,Bruce Springsteen , The Rising,spotify:track:2czBvzOv3TvnyoW7Ozo7fP,0.0655,0.499,0.761,0.0,0.0895,0.0324,110.186,0.326,-6.381,1389,Bruce Springsteen,The Rising,,
2673,Bruce Springsteen - The Rising,radiowien,2021-04-30 04:12:02.748913,Bruce Springsteen , The Rising,spotify:track:2czBvzOv3TvnyoW7Ozo7fP,0.0655,0.499,0.761,0.0,0.0895,0.0324,110.186,0.326,-6.381,1389,Bruce Springsteen,The Rising,,
2674,Bruce Springsteen - Waitin' On A Sunny Day,radiowien,2021-04-22 10:30:02.044515,Bruce Springsteen , Waitin' On A Sunny Day,spotify:track:7vIyudiO2Tr9hZ2yzfwQmx,0.0116,0.584,0.82,4.04e-05,0.0991,0.0271,106.055,0.869,-5.228,1390,Bruce Springsteen,Waitin' On A Sunny Day,,
2675,Bruce Springsteen - Waitin' On A Sunny Day,radiowien,2021-04-27 05:15:02.338254,Bruce Springsteen , Waitin' On A Sunny Day,spotify:track:7vIyudiO2Tr9hZ2yzfwQmx,0.0116,0.584,0.82,4.04e-05,0.0991,0.0271,106.055,0.869,-5.228,1390,Bruce Springsteen,Waitin' On A Sunny Day,,
2676,Bruce Springsteen - Waitin' On A Sunny Day,radiowien,2021-04-27 05:15:02.338254,Bruce Springsteen , Waitin' On A Sunny Day,spotify:track:7vIyudiO2Tr9hZ2yzfwQmx,0.0116,0.584,0.82,4.04e-05,0.0991,0.0271,106.055,0.869,-5.228,1390,Bruce Springsteen,Waitin' On A Sunny Day,,
