,name,station,date,artist,song
2380,Isaac Hayes - Theme from Shaft,oe3,2021-04-23 06:39:01.552544,Isaac Hayes , Theme from Shaft
2381,Isaac Thompson - A thousand miles,radiowien,2021-04-20 07:24:02.153797,Isaac Thompson , A thousand miles
2382,Isley Brothers - This Old Heart Of Mine,radiowien,2021-04-22 22:48:01.652539,Isley Brothers , This Old Heart Of Mine
2383,J-Live - Satisfied ,fm4,2021-04-23 11:21:02.258022,J,J
2384,J-MOX & Nathan Trent - Millions,oe3,2021-04-22 20:12:05.059621,J,J
2385,J. Bernardt - Calm Down ,fm4,2021-04-23 11:39:02.897034,J. Bernardt , Calm Down 
2386,J. Geils Band - Centerfold,radiowien,2021-04-23 13:06:01.852975,J. Geils Band , Centerfold
2387,JC Stewart - I Need You to Hate Me,oe3,2021-04-23 07:27:01.439161,JC Stewart , I Need You to Hate Me
2388,JP Cooper - September Song,oe3,2021-04-20 10:09:01.017452,JP Cooper , September Song
2389,JUNGLE JADE - The Fall ,fm4,2021-04-22 18:48:02.253938,JUNGLE JADE , The Fall 
2390,Ja Panik - On Livestream ,fm4,2021-04-22 13:39:02.555313,Ja Panik , On Livestream 
2391,Ja Panik - On Livestream ,fm4,2021-04-20 18:09:03.651123,Ja Panik , On Livestream 
2392,Ja Panik - On Livestream ,fm4,2021-04-21 00:03:02.254892,Ja Panik , On Livestream 
2393,Ja Panik - On Livestream ,fm4,2021-04-20 02:09:02.567992,Ja Panik , On Livestream 
2394,Ja Panik - On Livestream ,fm4,2021-04-22 01:48:02.356429,Ja Panik , On Livestream 
2395,Ja Panik - On Livestream ,fm4,2021-04-18 10:45:02.148056,Ja Panik , On Livestream 
2396,Ja Panik - On Livestream ,fm4,2021-04-21 09:27:03.052593,Ja Panik , On Livestream 
2397,Jack Johnson - Good People,radiowien,2021-04-20 20:51:02.451979,Jack Johnson , Good People
2398,Jack Johnson - Talk Of The Town,radiowien,2021-04-20 02:54:01.765393,Jack Johnson , Talk Of The Town
2399,Jack Johnson - Upside Down,radiowien,2021-04-21 01:57:02.050241,Jack Johnson , Upside Down
2400,Jack Johnson - You And Your Heart,radiowien,2021-04-22 15:54:01.855918,Jack Johnson , You And Your Heart
2401,Jack Radics - No Matter,radiowien,2021-04-21 11:51:02.354198,Jack Radics , No Matter
2402,Jackson Browne - Stay,radiowien,2021-04-19 13:45:02.347814,Jackson Browne , Stay
2403,Jaeyn - Luck Beyond ,fm4,2021-04-21 15:24:02.541056,Jaeyn , Luck Beyond 
2404,Jaeyn - Luck Beyond ,fm4,2021-04-22 11:21:02.857166,Jaeyn , Luck Beyond 
2405,Jafaris - Glue ,fm4,2021-04-23 00:18:01.857338,Jafaris , Glue 
2406,Jaguar - Síguele El Paso ,fm4,2021-04-22 01:15:02.352910,Jaguar , Síguele El Paso 
2407,Jain - Alright ,fm4,2021-04-22 13:09:03.066690,Jain , Alright 
2408,Jain - Makeba ,fm4,2021-04-23 08:54:03.064627,Jain , Makeba 
2409,Jake Bugg - All I Need ,fm4,2021-04-22 15:21:02.255388,Jake Bugg , All I Need 
2410,Jake Bugg - All I Need ,fm4,2021-04-19 19:24:02.213386,Jake Bugg , All I Need 
2411,Jake Bugg - All I Need ,fm4,2021-04-21 05:18:03.756831,Jake Bugg , All I Need 
2412,Jakob von Leoniden über die Rolle von Musik & den neuen Song ...,fm4,2021-04-21 19:09:02.430737,Jakob von Leoniden über die Rolle von Musik & den neuen Song ...,Jakob von Leoniden über die Rolle von Musik & den neuen Song ...
2413,Jakobin - Locked ,fm4,2021-04-21 02:54:03.267506,Jakobin , Locked 
2414,Jamelia - Superstar,oe3,2021-04-21 02:54:01.717934,Jamelia , Superstar
2415,James Arthur - Can I Be Him,radiowien,2021-04-19 23:24:02.451198,James Arthur , Can I Be Him
2416,James Arthur - Impossible,oe3,2021-04-20 01:45:01.059713,James Arthur , Impossible
2417,James Arthur - Say you won't let go,radiowien,2021-04-22 17:24:02.264584,James Arthur , Say you won't let go
2418,James Bay - Chew On My Heart,oe3,2021-04-23 01:33:01.806332,James Bay , Chew On My Heart
2419,"James Bks - New Breed (Feat. Q-Tip, Idris Elba & Little Simz)",fm4,2021-04-21 09:21:02.736845,James Bks ,James Bks 
2420,James Blunt - 1973,radiowien,2021-04-22 13:36:02.507800,James Blunt , 1973
2421,James Blunt - Bartender,radiowien,2021-04-20 23:12:02.860904,James Blunt , Bartender
2422,James Blunt - Bonfire Heart,radiowien,2021-04-23 05:36:02.037482,James Blunt , Bonfire Heart
2423,James Blunt - Cold,radiowien,2021-04-22 08:24:02.951933,James Blunt , Cold
2424,James Blunt - Love Me Better,radiowien,2021-04-21 20:30:02.018672,James Blunt , Love Me Better
2425,James Blunt - Postcards,radiowien,2021-04-20 04:27:01.737805,James Blunt , Postcards
2426,James Blunt - Same Mistake,radiowien,2021-04-22 00:54:01.870885,James Blunt , Same Mistake
2427,James Blunt - Stay The Night,radiowien,2021-04-19 06:12:01.813965,James Blunt , Stay The Night
2428,James Blunt - The Greatest,radiowien,2021-04-19 17:24:02.754465,James Blunt , The Greatest
2429,James Brown - How Do You Stop,radiowien,2021-04-21 10:54:02.753693,James Brown , How Do You Stop
2430,James Brown - Sex Machine (Part 1),radiowien,2021-04-19 02:09:01.712624,James Brown , Sex Machine (Part 1)
2431,James Cottriall - Don't Let Anyone Hold You Back,oe3,2021-04-21 20:12:03.028087,James Cottriall , Don't Let Anyone Hold You Back
2432,James Cottriall - Givin' Up,radiowien,2021-04-22 12:27:01.954600,James Cottriall , Givin' Up
2433,James Cottriall - Stand Up,radiowien,2021-04-19 08:39:02.343152,James Cottriall , Stand Up
2434,James Cottriall - Unbreakable,oe3,2021-04-20 12:54:01.711056,James Cottriall , Unbreakable
2435,James Hersey - Forget (About Everyone Else) ,fm4,2021-04-23 00:21:02.650926,James Hersey , Forget (About Everyone Else) 
2436,James Hersey - Miss You,oe3,2021-04-22 21:45:01.523810,James Hersey , Miss You
2437,James Hersey - Miss You ,fm4,2021-04-19 08:30:02.898547,James Hersey , Miss You 
2438,James Hersey - Real For You ,fm4,2021-04-21 05:39:02.356633,James Hersey , Real For You 
2439,James HerseyJeremy Loops - My People,radiowien,2021-04-20 21:18:03.567967,James HerseyJeremy Loops , My People
2440,James IngramLinda Ronstadt - Somewhere Out There,radiowien,2021-04-20 22:15:02.250362,James IngramLinda Ronstadt , Somewhere Out There
2441,James Morrison  Nelly Furtado - Broken Strings,oe3,2021-04-21 12:45:01.761861,James Morrison  Nelly Furtado , Broken Strings
2442,James Morrison - I Won't Let You Go,radiowien,2021-04-20 21:39:01.751848,James Morrison , I Won't Let You Go
2443,James Morrison feat. Nelly Furtado - Broken Strings,radiowien,2021-04-23 10:18:02.055365,James Morrison feat. Nelly Furtado , Broken Strings
2444,James Taylor - How Sweet It Is (To Be Loved By You),radiowien,2021-04-23 10:15:02.955157,James Taylor , How Sweet It Is (To Be Loved By You)
2445,James UK - Beautiful Beaches ,fm4,2021-04-21 13:30:02.783062,James UK , Beautiful Beaches 
2446,Jamie Cullum - I'm All Over It,radiowien,2021-04-20 01:12:01.450969,Jamie Cullum , I'm All Over It
2447,Jamie Lidell - Little Bit Of Feel Good ,fm4,2021-04-22 03:48:03.103050,Jamie Lidell , Little Bit Of Feel Good 
2448,Jamie XX - I Know There's Gonna Be (Good Times),fm4,2021-04-22 02:24:03.104273,Jamie XX , I Know There's Gonna Be (Good Times)
2449,Jamiroquai - Seven Days In Sunny June,radiowien,2021-04-22 11:54:02.461732,Jamiroquai , Seven Days In Sunny June
2450,Jan Delay - Sie kann nicht tanzen,oe3,2021-04-19 21:42:00.939943,Jan Delay , Sie kann nicht tanzen
2451,Jan Delay feat. Marteria - Eule,oe3,2021-04-22 10:48:01.709224,Jan Delay feat. Marteria , Eule
2452,Jan Hammer Group - Don't You Know ,fm4,2021-04-18 08:31:39.936710,Jan Hammer Group , Don't You Know 
2453,Jan und Kjeld - Banjo Boy (1960),radiowien,2021-04-19 12:51:01.674914,Jan und Kjeld , Banjo Boy (1960)
2454,Janelle Monae - Tightrope ,fm4,2021-04-19 04:57:03.204690,Janelle Monae , Tightrope 
2455,Janelle Monae ft. Grimes - Pynk ,fm4,2021-04-20 16:12:02.553141,Janelle Monae ft. Grimes , Pynk 
2456,Janelle MonÃ¡e Brian Wilson - Dirty Computer ,fm4,2021-04-23 05:00:02.821324,Janelle MonÃ¡e Brian Wilson , Dirty Computer 
2457,Janet Jackson - That's The Way Love Goes,radiowien,2021-04-18 15:51:02.744535,Janet Jackson , That's The Way Love Goes
2458,Janet Jackson - When I Think Of You,radiowien,2021-04-23 02:18:01.261538,Janet Jackson , When I Think Of You
2459,Janet Jackson - Whoops Now,radiowien,2021-04-22 00:42:02.950171,Janet Jackson , Whoops Now
2460,Janis Joplin - Me And Bobby McGee,radiowien,2021-04-22 10:12:04.227138,Janis Joplin , Me And Bobby McGee
2461,Jason Derulo - Colors,radiowien,2021-04-22 01:24:02.260780,Jason Derulo , Colors
2462,Jason Derulo - Take You Dancing,oe3,2021-04-22 23:57:01.042676,Jason Derulo , Take You Dancing
2463,Jason Derulo feat. Nuka - Love Not War (The Tampa Beat),oe3,2021-04-23 12:45:01.231245,Jason Derulo feat. Nuka , Love Not War (The Tampa Beat)
2464,Jason Donovan - Too Many Broken Hearts,radiowien,2021-04-21 20:27:02.714146,Jason Donovan , Too Many Broken Hearts
2465,Jason DonovanKylie Minogue - Especially For You,radiowien,2021-04-20 18:12:03.870650,Jason DonovanKylie Minogue , Especially For You
2466,Jason Mraz - I'm Yours,radiowien,2021-04-22 00:33:02.661402,Jason Mraz , I'm Yours
2467,Jeff Bennett - Forward Ever ,fm4,2021-04-19 23:48:02.656561,Jeff Bennett , Forward Ever 
2468,Jennifer Lopez  Pitbull - On the Floor,oe3,2021-04-20 21:15:04.006334,Jennifer Lopez  Pitbull , On the Floor
2469,Jennifer Lopez - Ain't It Funny,oe3,2021-04-19 16:24:01.022247,Jennifer Lopez , Ain't It Funny
2470,Jennifer Paige - Crush,radiowien,2021-04-23 10:09:02.650917,Jennifer Paige , Crush
2471,Jennifer Rush - Destiny,radiowien,2021-04-18 23:12:02.308529,Jennifer Rush , Destiny
2472,Jennifer WarnesBill Medley - (I've Had) The Time Of My Life,radiowien,2021-04-20 20:39:01.758288,Jennifer WarnesBill Medley , (I've Had) The Time Of My Life
2473,Jessica - How Will I Know (Who You Are),radiowien,2021-04-20 17:27:02.452439,Jessica , How Will I Know (Who You Are)
2474,Jessie J  B.O.B. - Price Tag,oe3,2021-04-21 23:18:03.801247,Jessie J  B.O.B. , Price Tag
2475,Jessie Ware - Alone,radiowien,2021-04-20 03:39:02.655272,Jessie Ware , Alone
2476,Jewels - The Roadtrip,radiowien,2021-04-22 09:39:02.248315,Jewels , The Roadtrip
2477,Jimmy Cliff - Higher And Higher,radiowien,2021-04-21 06:42:03.454261,Jimmy Cliff , Higher And Higher
2478,Jimmy Cliff - I Can See Clearly Now,radiowien,2021-04-19 16:06:02.055488,Jimmy Cliff , I Can See Clearly Now
2479,"Jimmy Cliff - Wonderful World, Beautiful People",radiowien,2021-04-23 02:45:02.264521,Jimmy Cliff ," Wonderful World, Beautiful People"
2480,Jimmy Nail - Ain't No Doubt,radiowien,2021-04-22 21:30:01.938795,Jimmy Nail , Ain't No Doubt
2481,Jimmy Somerville - To Love Somebody,radiowien,2021-04-22 12:54:02.752478,Jimmy Somerville , To Love Somebody
2482,Joan Armatrading - Drop The Pilot,radiowien,2021-04-21 15:09:02.354556,Joan Armatrading , Drop The Pilot
2483,Joan Osborne - One Of Us,radiowien,2021-04-22 22:51:01.768564,Joan Osborne , One Of Us
2484,Jocelyn Smith - Der ewige Kreis,oe3,2021-04-19 21:21:01.110347,Jocelyn Smith , Der ewige Kreis
2485,Joe Cocker - Chain Of Fools,radiowien,2021-04-22 02:12:02.255119,Joe Cocker , Chain Of Fools
2486,Joe Cocker - Don't Let Me Be Misunderstood,radiowien,2021-04-21 08:57:02.107320,Joe Cocker , Don't Let Me Be Misunderstood
2487,Joe Cocker - Don't You Love Me Anymore,radiowien,2021-04-23 08:09:02.171871,Joe Cocker , Don't You Love Me Anymore
2488,Joe Cocker - My Father's Son,radiowien,2021-04-22 19:30:02.866240,Joe Cocker , My Father's Son
2489,Joe Cocker - The Simple Things,radiowien,2021-04-22 07:27:02.056871,Joe Cocker , The Simple Things
2490,Joe Cocker - Unchain My Heart,radiowien,2021-04-19 05:09:02.209057,Joe Cocker , Unchain My Heart
2491,Joe Cocker - What Becomes Of The Broken Hearted,radiowien,2021-04-20 21:30:02.453773,Joe Cocker , What Becomes Of The Broken Hearted
2492,Joel Corry feat. Mnek - Head & Heart,oe3,2021-04-23 09:54:01.352552,Joel Corry feat. Mnek , Head & Heart
2493,John Farnham - Two Strong Hearts,radiowien,2021-04-19 11:12:02.365816,John Farnham , Two Strong Hearts
2494,John Farnham - You're The Voice,radiowien,2021-04-22 20:48:02.153945,John Farnham , You're The Voice
2495,John Legend - All of Me,oe3,2021-04-23 00:45:01.204327,John Legend , All of Me
2496,John Lennon - Imagine,radiowien,2021-04-20 11:48:02.151958,John Lennon , Imagine
2497,John Lennon - Just Like Starting Over,radiowien,2021-04-18 16:24:01.737078,John Lennon , Just Like Starting Over
2498,John Lennon - Watching The Wheels,radiowien,2021-04-23 06:24:02.458017,John Lennon , Watching The Wheels
2499,John Lennon - Woman,radiowien,2021-04-22 19:24:02.354361,John Lennon , Woman
2500,John Milk - Treat Me Right ,fm4,2021-04-22 02:09:02.530499,John Milk , Treat Me Right 
2501,John Newman - Love Me Again,radiowien,2021-04-19 16:09:02.164243,John Newman , Love Me Again
2502,John Parr - St.Elmo's Fire (Man in Motion),radiowien,2021-04-20 12:06:02.955658,John Parr , St.Elmo's Fire (Man in Motion)
2503,John Waite - Missing You,radiowien,2021-04-23 10:30:02.555762,John Waite , Missing You
2504,Johnny Hates Jazz - Turn Back The Clock,radiowien,2021-04-18 11:36:02.250084,Johnny Hates Jazz , Turn Back The Clock
2505,Johnny Utah - Honey Pie ,fm4,2021-04-22 12:00:02.263114,Johnny Utah , Honey Pie 
2506,Jon Bon Jovi - Blaze of Glory,oe3,2021-04-22 06:18:01.923644,Jon Bon Jovi , Blaze of Glory
2507,Jon Secada - Do You Believe In Us,radiowien,2021-04-22 09:30:02.456931,Jon Secada , Do You Believe In Us
2508,Jon Secada - Just Another Day,radiowien,2021-04-20 18:06:02.652601,Jon Secada , Just Another Day
2509,Jona ft. Javonnte - Jus Move ,fm4,2021-04-20 20:03:02.266310,Jona ft. Javonnte , Jus Move 
2510,Jonas Blue feat. JP Cooper - Perfect Strangers,oe3,2021-04-22 15:45:01.209802,Jonas Blue feat. JP Cooper , Perfect Strangers
2511,Jonas Blue feat. Jack & Jack - Rise,oe3,2021-04-21 00:36:01.618214,Jonas Blue feat. Jack & Jack , Rise
2512,Joone & Victor C - The Affair (Marcus Worgull Rx),fm4,2021-04-22 14:33:02.750664,Joone & Victor C , The Affair (Marcus Worgull Rx)
2513,Jordana & Magdalena Bay - Push Me Away ,fm4,2021-04-22 13:36:02.907835,Jordana & Magdalena Bay , Push Me Away 
2514,Jorja Smith ft. Burna Boy - Be Honest ,fm4,2021-04-20 23:33:02.851123,Jorja Smith ft. Burna Boy , Be Honest 
2515,Jose Gonzalez - El Invento ,fm4,2021-04-22 16:42:02.567282,Jose Gonzalez , El Invento 
2516,Jose Gonzalez - El Invento ,fm4,2021-04-19 18:57:02.553641,Jose Gonzalez , El Invento 
2517,Josh. - Cordula GrÃ¼n,oe3,2021-04-20 11:51:01.552946,Josh. , Cordula GrÃ¼n
2518,Josh. - Ring in der Hand,oe3,2021-04-22 21:06:01.033550,Josh. , Ring in der Hand
2519,Josh. - Vielleicht,oe3,2021-04-21 16:54:01.421009,Josh. , Vielleicht
2520,Josh. - Wo bist du,oe3,2021-04-19 19:15:01.935003,Josh. , Wo bist du
2521,Joshua Kadison - Jessie,radiowien,2021-04-19 23:54:01.757372,Joshua Kadison , Jessie
2522,Journey - Don't Stop Believin',oe3,2021-04-23 10:45:01.564620,Journey , Don't Stop Believin'
2523,Journey - Open Arms,radiowien,2021-04-18 20:18:02.351953,Journey , Open Arms
2524,Journey - Who's Crying Now,radiowien,2021-04-19 18:39:02.002607,Journey , Who's Crying Now
2525,Jovanotti - Ciao Mamma,radiowien,2021-04-22 00:12:01.455755,Jovanotti , Ciao Mamma
2526,Jovanotti - Ragazzo Fortunato,radiowien,2021-04-22 06:39:02.550398,Jovanotti , Ragazzo Fortunato
2527,Joy Crookes - Two Nights ,fm4,2021-04-21 07:06:02.557807,Joy Crookes , Two Nights 
2528,Joyce Muniz - Crystalline ,fm4,2021-04-20 11:57:03.763295,Joyce Muniz , Crystalline 
2529,Joyce Muniz ft Enequist - Daydreaming,fm4,2021-04-21 02:57:01.755268,Joyce Muniz ft Enequist , Daydreaming
2530,Jugo Ürdens - Immer ,fm4,2021-04-22 16:00:02.265134,Jugo Ürdens , Immer 
2531,Juice Newton - Love's Been A Little Bit Hard On Me,radiowien,2021-04-23 01:51:02.363872,Juice Newton , Love's Been A Little Bit Hard On Me
2532,Julia Stone - Fire In Me ,fm4,2021-04-19 14:24:02.970109,Julia Stone , Fire In Me 
2533,Julia Stone - Fire In Me ,fm4,2021-04-20 18:33:02.699253,Julia Stone , Fire In Me 
2534,Julia Stone - Fire In Me ,fm4,2021-04-20 04:09:02.754172,Julia Stone , Fire In Me 
2535,Julian Le Play - Hand in Hand,radiowien,2021-04-22 18:54:02.352737,Julian Le Play , Hand in Hand
2536,Julian Le Play - Mr. Spielberg,oe3,2021-04-19 09:51:00.972139,Julian Le Play , Mr. Spielberg
2537,Julian Le Play - Philosoph,oe3,2021-04-18 23:51:01.597492,Julian Le Play , Philosoph
2538,Julian Le Play - Team,oe3,2021-04-23 02:51:04.305268,Julian Le Play , Team
2539,Julian Le Play feat. toksÃ¯ - Hellwach,oe3,2021-04-22 19:51:01.435947,Julian Le Play feat. toksÃ¯ , Hellwach
2540,Julian Lennon - Too Late For Goodbyes,radiowien,2021-04-19 22:12:02.564415,Julian Lennon , Too Late For Goodbyes
2541,Julian le Play - Mr. Spielberg,radiowien,2021-04-18 17:42:01.838801,Julian le Play , Mr. Spielberg
2542,Julien Baker - Ziptie ,fm4,2021-04-19 20:27:03.003969,Julien Baker , Ziptie 
2543,Jungle - Keep Moving ,fm4,2021-04-22 15:45:02.141980,Jungle , Keep Moving 
2544,Jungle - Keep Moving ,fm4,2021-04-18 13:06:02.440721,Jungle , Keep Moving 
2545,Jungle - Keep Moving ,fm4,2021-04-23 07:33:03.056190,Jungle , Keep Moving 
2546,Jungle - Keep Moving ,fm4,2021-04-20 02:54:02.156065,Jungle , Keep Moving 
2547,Jungle - Keep Moving ,fm4,2021-04-21 11:51:02.850557,Jungle , Keep Moving 
2548,Junip - Your Life Your Call ,fm4,2021-04-22 03:27:02.403471,Junip , Your Life Your Call 
2549,Justice - New Lands ,fm4,2021-04-21 14:57:02.856771,Justice , New Lands 
2550,Justin Bieber - Love Yourself,radiowien,2021-04-23 10:39:02.050390,Justin Bieber , Love Yourself
2551,Justin Bieber feat. Daniel Caesar  & Giveon - Peaches,oe3,2021-04-20 21:51:01.352909,Justin Bieber feat. Daniel Caesar  & Giveon , Peaches
2552,Justin Timberlake - Can't Stop The Feeling,radiowien,2021-04-21 08:09:05.380942,Justin Timberlake , Can't Stop The Feeling
2553,Justin Timberlake - Can't Stop the Feeling!,oe3,2021-04-23 09:21:01.314173,Justin Timberlake , Can't Stop the Feeling!
2554,Justin Timberlake - Man of the woods,radiowien,2021-04-22 00:24:02.266543,Justin Timberlake , Man of the woods
2555,Justin Timberlake - Mirrors,oe3,2021-04-22 16:45:01.454130,Justin Timberlake , Mirrors
2556,Justin Timberlake feat. Chris Stapleton - Say Something,oe3,2021-04-21 09:12:00.952679,Justin Timberlake feat. Chris Stapleton , Say Something
2557,Justin Wellington feat. Small Jam - Iko Iko,oe3,2021-04-22 23:42:01.036596,Justin Wellington feat. Small Jam , Iko Iko
2558,K'naan - Wavin' Flag,oe3,2021-04-23 08:12:03.229116,K'naan , Wavin' Flag
2559,"K-391, Alan Walker & Tungevaag ft. Mangoo - Play",oe3,2021-04-21 12:36:00.953487,K,K
2560,K.D. Lang - Constant Craving,radiowien,2021-04-22 03:15:02.323862,K.D. Lang , Constant Craving
2561,K.Flay - Bad Vibes ,fm4,2021-04-22 10:36:02.640382,K.Flay , Bad Vibes 
2562,K.Flay - Can't Sleep ,fm4,2021-04-22 00:42:03.253651,K.Flay , Can't Sleep 
2563,KAMAUU - Far Rockaway ,fm4,2021-04-21 16:12:02.272236,KAMAUU , Far Rockaway 
2564,KC & The Sunshine Band - Give It Up,radiowien,2021-04-20 02:06:02.551276,KC & The Sunshine Band , Give It Up
2565,KC & The Sunshine Band - I'm Your Boogie Man,radiowien,2021-04-20 23:45:01.951550,KC & The Sunshine Band , I'm Your Boogie Man
2566,KC & The Sunshine Band - Please Don't Go,radiowien,2021-04-21 07:24:01.854234,KC & The Sunshine Band , Please Don't Go
2567,KEKE - Ladies ,fm4,2021-04-21 19:30:02.259608,KEKE , Ladies 
2568,KH aka Four Tet - Only Human ,fm4,2021-04-21 09:12:01.901518,KH aka Four Tet , Only Human 
2569,KT Tunstall - Suddenly I See,radiowien,2021-04-20 14:33:03.735204,KT Tunstall , Suddenly I See
2570,KTP - Never Too Late To Love You,radiowien,2021-04-21 17:12:02.352810,KTP , Never Too Late To Love You
2571,KYLE - YES! (ft. Rich The Kid & K Camp),fm4,2021-04-21 10:57:02.173920,KYLE , YES! (ft. Rich The Kid & K Camp)
2572,Kajagoogoo - Too Shy,radiowien,2021-04-20 02:12:02.262796,Kajagoogoo , Too Shy
2573,Kaltenkirchen ft. ANOKI - Panik ,fm4,2021-04-19 13:12:02.962836,Kaltenkirchen ft. ANOKI , Panik 
2574,Kaltenkirchen ft. ANOKI - Panik ,fm4,2021-04-21 17:57:02.323808,Kaltenkirchen ft. ANOKI , Panik 
2575,Kaltenkirchen ft. ANOKI - Panik ,fm4,2021-04-20 09:54:02.950214,Kaltenkirchen ft. ANOKI , Panik 
2576,Kamasi Washington - Street Fighter Mas ,fm4,2021-04-18 15:57:02.953416,Kamasi Washington , Street Fighter Mas 
2577,Kaoma - Lambada,radiowien,2021-04-22 07:24:01.752753,Kaoma , Lambada
2578,Kapa Tult - Priority Lane ,fm4,2021-04-18 17:15:02.141475,Kapa Tult , Priority Lane 
2579,Karmic - Higher Self ,fm4,2021-04-21 02:39:02.967865,Karmic , Higher Self 
2580,Karmic - Living Off Love ,fm4,2021-04-20 06:54:02.536794,Karmic , Living Off Love 
2581,Kate Finnley - I'll Be There,radiowien,2021-04-20 09:57:02.856215,Kate Finnley , I'll Be There
2582,Katrina & The Waves - Love Shine A Light,radiowien,2021-04-22 14:12:02.352791,Katrina & The Waves , Love Shine A Light
2583,Katrina & The Waves - Walking On Sunshine,radiowien,2021-04-18 09:42:01.948302,Katrina & The Waves , Walking On Sunshine
2584,Katy Perry - Firework,oe3,2021-04-22 04:42:01.166809,Katy Perry , Firework
2585,Katy Perry - Hot n Cold,oe3,2021-04-20 18:36:01.453206,Katy Perry , Hot n Cold
2586,Katy Perry - I Kissed a Girl,oe3,2021-04-22 17:51:01.452936,Katy Perry , I Kissed a Girl
2587,Katy Perry - Last Friday Night,oe3,2021-04-20 23:24:01.914439,Katy Perry , Last Friday Night
2588,Katy Perry - Last Friday Night (T.G.I.F.),oe3,2021-04-19 07:39:01.697865,Katy Perry , Last Friday Night (T.G.I.F.)
2589,Katy Perry - Roar,oe3,2021-04-23 04:21:01.315601,Katy Perry , Roar
2590,Katy Perry - Teenage Dream,oe3,2021-04-19 01:45:01.248150,Katy Perry , Teenage Dream
2591,Kayomazu - Der Traum Lebt ,fm4,2021-04-23 11:42:03.063452,Kayomazu , Der Traum Lebt 
2592,Kazy Lambist - Oh My God ,fm4,2021-04-21 06:36:02.159998,Kazy Lambist , Oh My God 
2593,Ke$ha - TiK ToK,oe3,2021-04-20 02:45:02.327825,Ke$ha , TiK ToK
2594,Ke'rem - Our Own Cartoon,radiowien,2021-04-18 15:15:02.447610,Ke'rem , Our Own Cartoon
2595,Keane - Everybody's Changing,radiowien,2021-04-21 22:30:01.664293,Keane , Everybody's Changing
2596,Keane - Somewhere only we know,radiowien,2021-04-19 17:36:01.854781,Keane , Somewhere only we know
2597,Keep Dancing Inc - Start Up Nation ,fm4,2021-04-20 05:54:02.450137,Keep Dancing Inc , Start Up Nation 
2598,Kelly Clarkson - Heartbeat Song,oe3,2021-04-22 01:36:01.465571,Kelly Clarkson , Heartbeat Song
2599,Kelly Clarkson - Since U Been Gone,oe3,2021-04-19 18:18:01.504985,Kelly Clarkson , Since U Been Gone
2600,Kelly Clarkson - Stronger (What Doesn't Kill You),oe3,2021-04-20 02:18:01.113173,Kelly Clarkson , Stronger (What Doesn't Kill You)
2601,Kendrick Lamar & The Weeknd - Pray For Me,fm4,2021-04-20 09:21:02.350997,Kendrick Lamar & The Weeknd , Pray For Me
2602,Kendrick Lamar & The Weeknd - Pray For Me ,fm4,2021-04-21 06:54:04.020027,Kendrick Lamar & The Weeknd , Pray For Me 
2603,Kendrick Lamar ft. SZA - All The Stars ,fm4,2021-04-21 16:48:01.998002,Kendrick Lamar ft. SZA , All The Stars 
2604,Kenny Loggins - Danger Zone,oe3,2021-04-22 23:18:02.393602,Kenny Loggins , Danger Zone
2605,Kerala Dust - Maria ,fm4,2021-04-23 00:30:02.962874,Kerala Dust , Maria 
2606,Kerosin95 - Futter ,fm4,2021-04-22 16:57:02.841095,Kerosin95 , Futter 
2607,Kerosin95 - Futter ,fm4,2021-04-18 14:15:02.637248,Kerosin95 , Futter 
2608,Kerosin95 - Futter ,fm4,2021-04-23 01:00:02.457206,Kerosin95 , Futter 
2609,Khaled - Aicha,oe3,2021-04-19 21:33:01.705226,Khaled , Aicha
2610,Kid Rock - Born Free,oe3,2021-04-22 15:51:01.751682,Kid Rock , Born Free
2611,Kid Simius ft. Enda Gallery - Livin'It Up ,fm4,2021-04-19 07:06:02.905958,Kid Simius ft. Enda Gallery , Livin'It Up 
2612,Kim Carnes - Bette Davis Eyes,oe3,2021-04-18 17:36:01.037322,Kim Carnes , Bette Davis Eyes
2613,Kim Wilde - Cambodia,radiowien,2021-04-22 17:12:02.849719,Kim Wilde , Cambodia
2614,Kim Wilde - Four Letter Word,radiowien,2021-04-22 06:51:01.963428,Kim Wilde , Four Letter Word
2615,Kim Wilde - Kids In America,radiowien,2021-04-20 19:18:02.553300,Kim Wilde , Kids In America
2616,Kim Wilde - You Came,radiowien,2021-04-23 04:36:02.464591,Kim Wilde , You Came
2617,Kinetical & Ptah - Mmmh ,fm4,2021-04-23 11:54:02.951154,Kinetical & Ptah , Mmmh 
2618,King & Potter - Berlin,oe3,2021-04-23 13:18:04.234607,King & Potter , Berlin
2619,King & Potter - Blinded by Love,oe3,2021-04-18 21:18:00.991004,King & Potter , Blinded by Love
2620,King & Potter - Gypsy Heart,oe3,2021-04-23 00:27:01.359342,King & Potter , Gypsy Heart
2621,King & Potter - Loose Love,oe3,2021-04-19 23:51:00.823714,King & Potter , Loose Love
2622,Kings of Leon - Echoing ,fm4,2021-04-19 14:12:02.362346,Kings of Leon , Echoing 
2623,Kings of Leon - Echoing ,fm4,2021-04-20 17:18:02.951611,Kings of Leon , Echoing 
2624,Kings of Leon - Echoing ,fm4,2021-04-22 01:57:01.742415,Kings of Leon , Echoing 
2625,Kings of Leon - Echoing ,fm4,2021-04-23 10:06:02.355549,Kings of Leon , Echoing 
